Date,Time,Session duration,Entry URL,Exit URL,Referrer:,Clarity user ID,Browser,Device,OS,Country,Page count,Session clicks,Favorite,Recording link
11/13/2024,1:11 AM,0:42,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgwAJleHRuA2FlbQIxMQABHXlWbEvDMtPqqN6klO4W0tXMLdWU1FLBE8nG8YudTDVXCErlvNJy4aid1w_aem_v7ncxC-xvZbb-9nmERE66w,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgwAJleHRuA2FlbQIxMQABHXlWbEvDMtPqqN6klO4W0tXMLdWU1FLBE8nG8YudTDVXCErlvNJy4aid1w_aem_v7ncxC-xvZbb-9nmERE66w,https://lm.facebook.com/,vw1ijo,Unknown,Mobile,Android,Romania,1,1,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/vw1ijo/tpacsc/?ss=1731453110000&sd=42
11/13/2024,12:46 AM,0:32,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGguh1leHRuA2FlbQIxMQABHfosX26lGseQVEwQ9kjeqZPZDpFaw6fEI9QOSUBAV4_Po7yOvpwWuv3d0g_aem_Fh4ys_wSczJIdu8faxepXA,https://hoperiddle.s2-tastewp.com/recipes/,https://lm.facebook.com/,1yrv9et,Unknown,Mobile,Android,Hungary,4,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1yrv9et/14kb71z/?ss=1731451602000&sd=32
11/13/2024,12:20 AM,0:30,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3Tz7qIrl_KoxtUQNqlWxNbz5Va_wxjyyL9uJjk-cfGlwx_zq43Unpk2rQ_aem_c02v6ZFT5t86-TpDJ7nAXA,https://hoperiddle.s2-tastewp.com/2024/11/11/cheesy-autumn-mushrooms/,http://m.facebook.com/,1byrwva,Unknown,Mobile,iOS,Hungary,3,3,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1byrwva/13zopfp/?ss=1731450009000&sd=30
11/12/2024,11:48 PM,0:39,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgrJFleHRuA2FlbQIxMQABHWJwr5t_Itqfop5TFtNCRek6txWeBp4n6reCKT_nMXqoffr8lRQt4BgsEA_aem_VlakLNdzm5_3GkS0aGcwRg,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgrJFleHRuA2FlbQIxMQABHWJwr5t_Itqfop5TFtNCRek6txWeBp4n6reCKT_nMXqoffr8lRQt4BgsEA_aem_VlakLNdzm5_3GkS0aGcwRg,https://lm.facebook.com/,113p0d3,Unknown,Mobile,Android,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/113p0d3/1sib3x2/?ss=1731448132000&sd=39
11/12/2024,11:11 PM,1:10,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2CjaYVm9trzvO-6uXtWox7z7YfWPz_c3r2sz3OgRGriNIOu5Py21TUEAk_aem_V8HReZP34DqLXITv_es6ng,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2CjaYVm9trzvO-6uXtWox7z7YfWPz_c3r2sz3OgRGriNIOu5Py21TUEAk_aem_V8HReZP34DqLXITv_es6ng,https://lm.facebook.com/,129vdwt,Unknown,Mobile,Android,Hungary,5,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/129vdwt/7tazen/?ss=1731445903000&sd=70
11/12/2024,10:49 PM,1:49,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgnppleHRuA2FlbQIxMQABHbuinqEsrCKDiivMwEFPNKyOaRmkk7_u97LXrcn5O8Ze5kI67qNGGLwO9A_aem_XJkLzQe-aVLZy2C3KNGO_g,https://hoperiddle.s2-tastewp.com/category/breakfast/,https://lm.facebook.com/,17j2xif,Unknown,Mobile,Android,Romania,4,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/17j2xif/1aclpgm/?ss=1731444558000&sd=109
11/12/2024,10:46 PM,0:04,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgnf9leHRuA2FlbQIxMQABHbpayHllc7Z1A0RParJ476ugQu85fT3UyZGS1W-lK3YgVENDOzOyAQqhAg_aem_nX7h-F-7IjC1jE6RhPRbtQ,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgnf9leHRuA2FlbQIxMQABHbpayHllc7Z1A0RParJ476ugQu85fT3UyZGS1W-lK3YgVENDOzOyAQqhAg_aem_nX7h-F-7IjC1jE6RhPRbtQ,https://lm.facebook.com/,13s25un,Unknown,Mobile,Android,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/13s25un/1wn0abs/?ss=1731444402000&sd=4
11/12/2024,10:23 PM,0:25,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgmIdleHRuA2FlbQIxMQABHSY6E1V-e7sL5Fl5gxngbsHfA9UmUW6EhWKvtXXRlLDj4gvZDu0fHojusw_aem_Y7kbLA7dR8ePHnFjXVsm_A,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgmIdleHRuA2FlbQIxMQABHSY6E1V-e7sL5Fl5gxngbsHfA9UmUW6EhWKvtXXRlLDj4gvZDu0fHojusw_aem_Y7kbLA7dR8ePHnFjXVsm_A,https://lm.facebook.com/,b2bknx,Unknown,Mobile,Android,Hungary,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/b2bknx/ovamja/?ss=1731443007000&sd=25
11/12/2024,9:29 PM,27:26:00,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/,,jw3z3p,ChromeMobile,Mobile,iOS,Hungary,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/jw3z3p/18bsuo/?ss=1731439759000&sd=1646
11/12/2024,9:29 PM,0:09,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR20wLyhAAMyB51n686zkCqMgwaZVb_xECuyrXATIuOnjvCj8RwoEja9JTY_aem_Ra-DIhzQDk-lNH7vi4aFtA,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR20wLyhAAMyB51n686zkCqMgwaZVb_xECuyrXATIuOnjvCj8RwoEja9JTY_aem_Ra-DIhzQDk-lNH7vi4aFtA,http://m.facebook.com/,1389hzf,Unknown,Mobile,iOS,Romania,1,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1389hzf/croteg/?ss=1731439746000&sd=9
